Instance,Seed,CutoffSeconds,HasVerifiedSolution,FirstFeasibleTimeSeconds,PaperTableTimeSeconds,BestCost,ModelName,KernelName,ControllerEnabled,Feasible
spot5_wt-1403.wcsp.log_old.wcnf,1,60,True,0.491606,19.1812,459246.0,Host-NuWLS,NuWLS,False,True
spot5_wt-1405.wcsp.dir_old.wcnf,1,60,True,0.404656,38.6052,459419.0,Host-NuWLS,NuWLS,False,True
spot5_wt-1506.wcsp.log_old.wcnf,1,60,True,0.800208,34.245,354524.0,Host-NuWLS,NuWLS,False,True
spot5_wt-5.wcsp.log_old.wcnf,1,60,True,0.290107,0.523397,261.0,Host-NuWLS,NuWLS,False,True
staff-scheduling_wt-instance10_old.wcnf,1,60,True,2.21264,58.388,6550.0,Host-NuWLS,NuWLS,False,True
staff-scheduling_wt-instance11_old.wcnf,1,60,True,0.67277,23.7661,3653.0,Host-NuWLS,NuWLS,False,True
staff-scheduling_wt-instance12_old.wcnf,1,60,True,1.68381,58.4336,7138.0,Host-NuWLS,NuWLS,False,True
staff-scheduling_wt-instance2_old.wcnf,1,60,True,0.0190913,3.64037,838.0,Host-NuWLS,NuWLS,False,True
staff-scheduling_wt-instance3_old.wcnf,1,60,True,0.0397178,15.5957,1026.0,Host-NuWLS,NuWLS,False,True
staff-scheduling_wt-instance4_old.wcnf,1,60,True,0.0230035,42.2279,1740.0,Host-NuWLS,NuWLS,False,True
staff-scheduling_wt-instance5_old.wcnf,1,60,True,0.0541059,25.8683,1287.0,Host-NuWLS,NuWLS,False,True
staff-scheduling_wt-instance6_old.wcnf,1,60,True,0.0708429,10.7592,2081.0,Host-NuWLS,NuWLS,False,True
staff-scheduling_wt-instance7_old.wcnf,1,60,True,0.102017,46.764,1178.0,Host-NuWLS,NuWLS,False,True
staff-scheduling_wt-instance8_old.wcnf,1,60,True,0.28588,18.5495,2848.0,Host-NuWLS,NuWLS,False,True
staff-scheduling_wt-instance9_old.wcnf,1,60,True,1.53635,59.7984,2142.0,Host-NuWLS,NuWLS,False,True
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_100_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_150_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_200_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_66_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_68_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_70_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_72_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
