Dataset,Model,ModelDirectory,InstanceKey,InstanceOriginal,FeasibleReported,FeasibleStrict300,BestCost,BestTimeSeconds,FirstFeasibleTimeSeconds,QualityReported,QualityStrict300,SourceFile,SourceFormat,DevelopmentExcluded,ParameterDevelopmentTrack,PrimaryHeldOut,InstanceBestCostReported,WinReported,UniqueWinReported,SharedWinReported,InstanceBestCostStrict300,WinStrict300,UniqueWinStrict300,SharedWinStrict300
24-wpms-300s,NuWLS-c-FPS,NFPS,btbnsl_wt_rounded_btwbnsl_hailfinder_1000_1_3_scores_twbound_4_old,BTBNSL_wt-Rounded_BTWBNSL_hailfinder_1000_1_3.scores_TWBound_4_old.wcnf,True,True,5276763036.0,27.482705,0.139299,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,5276763036.0,True,False,True,5276763036.0,True,False,True
24-wpms-300s,NuWLS-c-FPS,NFPS,btbnsl_wt_rounded_btwbnsl_hepatitis_bic_twbound4_old,BTBNSL_wt-Rounded_BTWBNSL_Hepatitis.BIC_TWBound4_old.wcnf,True,True,133389634.0,4.808071,0.020012,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,132946295.0,False,False,False,132946295.0,False,False,False
24-wpms-300s,NuWLS-c-FPS,NFPS,btbnsl_wt_rounded_btwbnsl_horse_bic_twbound_2_old,BTBNSL_wt-Rounded_BTWBNSL_Horse.BIC_TWBound_2_old.wcnf,True,True,454002610.0,7.985547,0.032917,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,454001743.0,False,False,False,454001743.0,False,False,False
24-wpms-300s,NuWLS-c-FPS,NFPS,btbnsl_wt_rounded_btwbnsl_insurance_1000_1_3_scores_twbound_3_old,BTBNSL_wt-Rounded_BTWBNSL_insurance_1000_1_3.scores_TWBound_3_old.wcnf,True,True,1414977602.0,11.489304,0.360375,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,1410255890.0,False,False,False,1410255890.0,False,False,False
24-wpms-300s,NuWLS-c-FPS,NFPS,btbnsl_wt_rounded_btwbnsl_insurance_1000_1_3_scores_twbound_4_old,BTBNSL_wt-Rounded_BTWBNSL_insurance_1000_1_3.scores_TWBound_4_old.wcnf,True,True,1415034732.0,12.679872,0.066184,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,1409602590.0,False,False,False,1409602590.0,False,False,False
24-wpms-300s,NuWLS-c-FPS,NFPS,btbnsl_wt_rounded_btwbnsl_insurance_100_1_3_scores_twbound_3_old,BTBNSL_wt-Rounded_BTWBNSL_insurance_100_1_3.scores_TWBound_3_old.wcnf,True,True,172603859.0,8.933893,1.701453,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,172383439.0,False,False,False,172383439.0,False,False,False
24-wpms-300s,NuWLS-c-FPS,NFPS,btbnsl_wt_rounded_btwbnsl_water_1000_1_2_scores_twbound_3_old,BTBNSL_wt-Rounded_BTWBNSL_Water_1000_1_2.scores_TWBound_3_old.wcnf,True,True,1329033479.0,9.885689,0.839966,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,1328713136.0,False,False,False,1328713136.0,False,False,False
24-wpms-300s,NuWLS-c-FPS,NFPS,btbnsl_wt_rounded_btwbnsl_wine_twbound_3_old,BTBNSL_wt-Rounded_BTWBNSL_Wine_TWBound_3_old.wcnf,True,True,131430814.0,12.893474,0.017443,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,127198571.0,False,False,False,127198571.0,False,False,False
24-wpms-300s,NuWLS-c-FPS,NFPS,causal_discovery_wt_causal_bands_6_277_old,causal-discovery_wt-causal_Bands_6_277_old.wcnf,True,True,139188.0,0.381743,0.315037,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,91349.0,False,False,False,91349.0,False,False,False
24-wpms-300s,NuWLS-c-FPS,NFPS,causal_discovery_wt_causal_hailfinder_7_100_old,causal-discovery_wt-causal_hailfinder_7_100_old.wcnf,True,True,2658419.0,0.630685,0.339991,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,2036684.0,False,False,False,2036684.0,False,False,False
